Machine Serial,Volume,Drawing P/N,Table of Contents P/N,Machine,Page,ECO,Table of Contents ECO,Run,Previous ECO,Title
Kornylak-2010,II,762852,762852,1411,11.04.00.0,253468,251829,,,MF I CODES FOR 1410 OPS
Kornylak-2010,II,5319285,5319285,1411,11.04.01.0,255014,251818,,,1410 CONIGURATION TIE DOWN LIST: TIE DOWN PIN LIST TO GROUND
Kornylak-2010,II,5327094,761019,1411,11.04.02.0,253320,251829,8849,252961,CIRCUIT CARD LOCATION CHART: FRAME 11 GATE C PANEL 1
Kornylak-2010,II,762843,762843,1411,11.04.02.3,249906,249906,,111594C,CABLE AND EDGE CONNECTOR LOCATION
Kornylak-2010,II,5327095,761029,1411,11.04.03.0,252659,251837,8848,251850,CIRCUIT CARD LOCATION CHART: FRAME 11 GATE C PANEL 2
Kornylak-2010,II,5327100,762844,1411,11.04.03.3,251773,250185,,,CABLE AND EDGE CONNECTOR LOCATION
Kornylak-2010,II,5327096,594412,1411,11.04.04.0,253905,251829,8842,253151,CIRCUIT CARD LOCATION CHART: FRAME 11 GATE C PANEL 3
Kornylak-2010,II,5327101,762845,1411,11.04.04.3,251773,249906,,,CABLE AND EDGE CONNECTOR LOCATION
Kornylak-2010,II,5327097,761049,1411,11.04.05.0,253732,251818,8847,253259,CIRCUIT CARD LOCATION CHART: FRAME 11 GATE C PANEL 4
Kornylak-2010,II,762846,762846,1411,11.04.05.3,249906,249906,,111594C,CABLE AND EDGE CONNECTOR LOCATION
Kornylak-2010,II,5327098,76????,1411,11.04.06.0,253151,250755,8847,252951,CIRCUIT CARD LOCATION CHART: FRAME 11 GATE D PANEL 1
Kornylak-2010,II,762847,762847,1411,11.04.06.3,249906,249906,,111594C,CABLE AND EDGE CONNECTOR LOCATION
Kornylak-2010,II,762848,762848,1411,11.04.06.4,249906,249906,,111594C,CABLE AND EDGE CONNECTOR LOCATION
Kornylak-2010,II,5327099,761079,1411,11.04.07.0,255117,251529,8848,254896,CIRCUIT CARD LOCATION CHART: FRAME 11 GATE D PANEL 2
Kornylak-2010,II,MISSING,762849,1411,11.04.07.3,MISSING,249906,,,CABLE AND EDGE CONNECTOR LOCATION
Kornylak-2010,II,5327508,761089,1411,11.04.08.0,253322,258798,8848,253146,CIRCUIT CARD LOCATION CHART: FRAME 11 GATE D PANEL 3
Kornylak-2010,II,762839,762850,1411,11.04.08.3,249906,249906,,111594C,CABLE AND EDGE CONNECTOR LOCATION
Kornylak-2010,II,5327509,761099,1411,11.04.09.0,255117,251818,8878,253912,CIRCUIT CARD LOCATION CHART: FRAME 11 GATE D PANEL 4
Kornylak-2010,II,762851,762851,1411,11.04.09.3,249906,249906,,111594C,CABLE AND EDGE CONNECTOR LOCATION
Kornylak-2010,II,5327091,761059,1411,25.04.01.0,251829,251784,8847,250797,CIRCUIT CARD LOCATION CHART: FRAME 11 GATE B PANEL 2 (T.O.C. has at 14.04.01.0)
Kornylak-2010,II,762417,762417,1411,14.04.01.3,250735,250735,,249906,CABLE AND EDGE CONNECTOR LOCATION
Kornylak-2010,II,5327092,,1411,25.04.02.0,252943,,8841,251773,CIRCUIT CARD LOCATION CHART: FRAME 11 GATE B PANEL 3
Kornylak-2010,II,5327093,,1411,25.04.03.0,253468,,8841,252657,CIRCUIT CARD LOCATION CHART: FRAME 11 GATE B PANEL 4
